"","Country","Year","Electricity/Heat (CO2) (MtCO2)","Manufacturing/Construction (CO2) (MtCO2)","Transportation (CO2) (MtCO2)","Other Fuel Combustion (CO2) (MtCO2)","Fugitive Emissions (CO2) (MtCO2)"
"1824","Panama",1980,1.16,0.6,1.03,0.14,0
"1825","Papua New Guinea",1980,NA,NA,NA,NA,0
"1826","Paraguay",1980,0.12,0.1,1.07,0.06,0
"1827","Peru",1980,4.5,6.09,6.07,3.88,0
"1828","Philippines",1980,11.08,8.12,10.35,3.73,0
"1829","Poland",1980,234.58,68.03,27.75,82.73,0
"1830","Portugal",1980,6.44,7.8,6.79,2.76,0
"1831","Qatar",1980,3.77,2.68,1.04,0.2,2.1651
"1832","Romania",1980,40.81,93,6.82,35.45,0
"1833","Russian Federation",1980,NA,NA,NA,NA,0
"1834","Rwanda",1980,NA,NA,NA,NA,0
"1835","Saint Kitts & Nevis",1980,NA,NA,NA,NA,0
"1836","Saint Lucia",1980,NA,NA,NA,NA,0
"1837","Saint Vincent & Grenadines",1980,NA,NA,NA,NA,0
"1838","Samoa",1980,NA,NA,NA,NA,0
"1839","Sao Tome & Principe",1980,NA,NA,NA,NA,0
"1840","Saudi Arabia",1980,37.77,39.45,19.38,2.47,69.8507
"1841","Senegal",1980,0.68,0.54,0.71,0.11,0
"1842","Serbia",1980,22.2143,10.2737,3.883,3.1669,0
"1843","Seychelles",1980,NA,NA,NA,NA,0
"1844","Sierra Leone",1980,NA,NA,NA,NA,0
"1845","Singapore",1980,8.57,0.97,2.83,0.31,0
"1846","Slovakia",1980,18.77,18.18,4.08,14.3,NA
"1847","Slovenia",1980,3.1621,3.1216,2.3423,1.2564,0
"1848","Solomon Islands",1980,NA,NA,NA,NA,0
"1849","South Africa",1980,97.3,73.31,25.27,12.95,0
"1850","Spain",1980,70.3,53.25,44.66,19.51,0
"1851","Sri Lanka",1980,0.45,0.5,2.06,0.58,0
"1852","Sudan",1980,0.26,1.08,2.25,0.12,0
"1853","Suriname",1980,NA,NA,NA,NA,0
"1854","Swaziland",1980,NA,NA,NA,NA,0
"1855","Sweden",1980,10.55,19.99,16.66,26.23,0
"1856","Switzerland",1980,1.32,8.66,10.3,18.95,0
"1857","Syria",1980,2.54,5.36,3.59,1.65,0
"1858","Tajikistan",1980,NA,NA,NA,NA,0
"1859","Tanzania",1980,0.25,0.37,0.69,0.28,0
"1860","Thailand",1980,11.63,7.01,9.53,5.46,0
"1861","Togo",1980,0.01,0,0.31,0.03,0
"1862","Tonga",1980,NA,NA,NA,NA,0
"1863","Trinidad & Tobago",1980,4.54,1.83,1.39,0.17,0
"1864","Tunisia",1980,2.7,2.02,1.75,1.36,0
"1865","Turkey",1980,16.29,20.88,16.54,17.19,0
"1866","Turkmenistan",1980,NA,NA,NA,NA,0
"1867","Uganda",1980,NA,NA,NA,NA,0
"1868","Ukraine",1980,NA,NA,NA,NA,0
"1869","United Arab Emirates",1980,5.22,7,6.89,0,13.867
"1870","United Kingdom",1980,258.8,103.99,88.89,119.42,0
"1871","United States",1980,1781.22,950.55,1234.76,695.05,7.0161
"1872","Uruguay",1980,1.22,1.55,1.65,1.13,0
"1873","Uzbekistan",1980,NA,NA,NA,NA,0
"1874","Vanuatu",1980,NA,NA,NA,NA,0
"1875","Venezuela",1980,37.15,24.42,26.73,4.11,4.6326
"1876","Vietnam",1980,3.64,5.33,1.96,3.85,0
"1877","World",1980,6387.52,4792.63,3671.87,3210.35,240.0006
"1878","Yemen",1980,0.69,0,2.3,0.46,0
"1879","Zambia",1980,0.25,1.89,0.86,0.36,0
"1880","Zimbabwe",1980,1.09,3.49,1.85,1.53,0
"1881","Afghanistan",1981,NA,NA,NA,NA,0
"1882","Albania",1981,1.05,2.77,0.81,1.79,0
"1883","Algeria",1981,15.43,4.91,6.72,5.78,13.8274
"1884","Angola",1981,0.55,0.48,0.86,0.66,0
"1885","Antigua & Barbuda",1981,NA,NA,NA,NA,0
"1886","Argentina",1981,29.13,14.98,31.01,19.23,0
"1887","Armenia",1981,NA,NA,NA,NA,0
"1888","Australia",1981,103.24,44.68,49.92,10.49,0
"1889","Austria",1981,12.75,11.84,11.04,17.21,0
"1890","Azerbaijan",1981,NA,NA,NA,NA,0
"1891","Bahamas, The",1981,NA,NA,NA,NA,0
"1892","Bahrain",1981,4.77,2.38,0.7,0.07,0
"1893","Bangladesh",1981,1.67,2.59,0.82,1.92,0
"1894","Barbados",1981,NA,NA,NA,NA,0
"1895","Belarus",1981,NA,NA,NA,NA,0
"1896","Belgium",1981,39.22,30.86,15.43,29.99,0
"1897","Belize",1981,NA,NA,NA,NA,0
"1898","Benin",1981,0.01,0.03,0.18,0.07,0
"1899","Bhutan",1981,NA,NA,NA,NA,0
"1900","Bolivia",1981,1.25,0.56,2,0.72,0
"1901","Bosnia & Herzegovina",1981,5.2419,5.9359,1.768,1.723,0
"1902","Botswana",1981,0.62,0.44,0.25,0.05,0
"1903","Brazil",1981,20.96,53.98,72.37,17.47,0
"1904","Brunei",1981,2.15,0.09,0.31,0.03,0.8966
"1905","Bulgaria",1981,36.69,11.92,3.92,27.34,0
"1906","Burkina Faso",1981,NA,NA,NA,NA,0
"1907","Burundi",1981,NA,NA,NA,NA,0
"1908","Cambodia",1981,NA,NA,NA,NA,0
"1909","Cameroon",1981,0.08,0.2,1.18,0.27,0
"1910","Canada",1981,103.02,93.97,126.99,84.15,2.7903
"1911","Cape Verde",1981,NA,NA,NA,NA,0
"1912","Central African Republic",1981,NA,NA,NA,NA,0
"1913","Chad",1981,NA,NA,NA,NA,0
"1914","Chile",1981,6.18,5.93,6.55,2.49,0
"1915","China",1981,346.33,643.36,82.01,337.45,0
"1916","Colombia",1981,9.65,10.24,11.82,3.48,1.6543
"1917","Comoros",1981,NA,NA,NA,NA,0
"1918","Congo, Dem. Rep.",1981,0.16,0.65,0.58,1.93,0
"1919","Congo, Rep.",1981,0.08,0.06,0.54,0.05,0
"1920","Cook Islands",1981,NA,NA,NA,NA,0
"1921","Costa Rica",1981,0.13,0.66,1.17,0.08,0
"1922","Cote d'Ivoire",1981,0.42,0.51,1.49,0.54,0
"1923","Croatia",1981,9.1836,6.6918,3.8778,1.241,0
"1924","Cuba",1981,9.37,10.99,5.49,4.22,0
"1925","Cyprus",1981,1.11,0.71,0.61,0.12,0
"1926","Czech Republic",1981,57.3,65.93,7.4,35.9,NA
"1927","Denmark",1981,20.73,6.79,8.67,16.34,0
"1928","Djibouti",1981,NA,NA,NA,NA,0
"1929","Dominica",1981,NA,NA,NA,NA,0
"1930","Dominican Republic",1981,2.88,1.18,1.49,0.39,0
"1931","Ecuador",1981,3.74,1.68,4.53,1.94,0.8961
"1932","Egypt",1981,10.82,19.42,9.01,9.52,0
"1933","El Salvador",1981,0.14,0.57,0.8,0.13,0
"1934","Equatorial Guinea",1981,NA,NA,NA,NA,0
"1935","Eritrea",1981,NA,NA,NA,NA,NA
"1936","Estonia",1981,NA,NA,NA,NA,0
"1937","Ethiopia",1981,0.32,0.41,0.66,0.14,0
"1938","European Union (15)",1981,1167.7,735.08,517.31,719.55,7.6149
"1939","European Union (28)",1981,1602.6691,1006.5411,578.1342,931.2962,7.6149
"1940","Fiji",1981,NA,NA,NA,NA,0
"1941","Finland",1981,12.79,15.04,8.35,9.86,0
"1942","France",1981,109.33,101.32,89.63,113.84,0
"1943","Gabon",1981,0.12,1,0.44,0.06,3.1451
"1944","Gambia, The",1981,NA,NA,NA,NA,0
"1945","Georgia",1981,NA,NA,NA,NA,0
"1946","Germany",1981,436.79,225.27,123.89,236.31,NA
"1947","Ghana",1981,0.14,0.6,1.47,0.62,0
"1948","Greece",1981,20.53,9.24,9.69,5.44,0
"1949","Grenada",1981,NA,NA,NA,NA,0
"1950","Guatemala",1981,1.33,0.58,1.24,0.5,0
"1951","Guinea",1981,NA,NA,NA,NA,0
"1952","Guinea-Bissau",1981,NA,NA,NA,NA,0
"1953","Guyana",1981,NA,NA,NA,NA,0
"1954","Haiti",1981,0.1,0.08,0.3,0.04,0
"1955","Honduras",1981,0.23,0.46,0.63,0.28,0
"1956","Hungary",1981,34.29,20.15,8.07,20.4,0
"1957","Iceland",1981,0.04,0.42,0.56,0.71,0
"1958","India",1981,102.55,98.78,57.2,56.59,4.5337
"1959","Indonesia",1981,12.79,22.9,19.44,19.24,12.0234
"1960","Iran",1981,17.88,21.34,21.26,31.26,15.078
"1961","Iraq",1981,6.29,5.15,10.93,3.63,6.0317
"1962","Ireland",1981,7.53,6.11,4.59,7.63,0
"1963","Israel",1981,10.24,4.01,4.04,2.07,0
"1964","Italy",1981,118,86.78,70.56,74.46,0
"1965","Jamaica",1981,1.27,3.92,0.91,0.37,0
"1966","Japan",1981,334.43,239.34,152.76,130.01,0
"1967","Jordan",1981,1.81,0.78,1.64,0.98,0
"1968","Kazakhstan",1981,NA,NA,NA,NA,0
"1969","Kenya",1981,0.52,1.24,1.8,0.83,0
"1970","Kiribati",1981,NA,NA,NA,NA,0
"1971","Korea, Dem. Rep. (North)",1981,14.74,69.79,5.27,18.89,0
"1972","Korea, Rep. (South)",1981,39.12,30.42,11,48.86,0
"1973","Kuwait",1981,11.06,4.83,6.87,4.19,1.3918
"1974","Kyrgyzstan",1981,NA,NA,NA,NA,0
"1975","Laos",1981,NA,NA,NA,NA,0
"1976","Latvia",1981,NA,NA,NA,NA,0
"1977","Lebanon",1981,2.88,0.02,1.99,1.38,0
"1978","Lesotho",1981,NA,NA,NA,NA,0
"1979","Liberia",1981,NA,NA,NA,NA,0
"1980","Libya",1981,8.92,3.49,5.42,0.7,4.2271
"1981","Lithuania",1981,NA,NA,NA,NA,0
"1982","Luxembourg",1981,1.4,5.94,1.42,1.35,0
"1983","Macedonia, FYR",1981,4.205,1.9291,1.0743,0.224,0
"1984","Madagascar",1981,NA,NA,NA,NA,0
"1985","Malawi",1981,NA,NA,NA,NA,0
"1986","Malaysia",1981,8.13,9.64,6.79,1.39,0
"1987","Maldives",1981,NA,NA,NA,NA,0
"1988","Mali",1981,NA,NA,NA,NA,0
"1989","Malta",1981,0.77,0,0.27,0.08,0
"1990","Mauritania",1981,NA,NA,NA,NA,0
"1991","Mauritius",1981,0.19,0.09,0.24,0.06,0
"1992","Mexico",1981,62.68,67.14,74.7,24.12,13.0132
"1993","Moldova",1981,NA,NA,NA,NA,0
"1994","Mongolia",1981,NA,NA,NA,NA,0
"1995","Montenegro",1981,NA,NA,NA,NA,NA
"1996","Morocco",1981,4.74,4.63,2.53,2.21,0
"1997","Mozambique",1981,0.52,0.6,0.26,0.62,0
"1998","Myanmar",1981,1.04,2.15,1.86,0.06,0
"1999","Namibia",1981,NA,NA,NA,NA,NA
"2000","Nauru",1981,NA,NA,NA,NA,0
"2001","Nepal",1981,0.01,0.16,0.15,0.12,0
"2002","Netherlands",1981,49.42,53.99,22.42,42.04,0
"2003","New Zealand",1981,2.5,4.64,6.59,2.56,0
"2004","Nicaragua",1981,0.52,0.26,0.88,0.21,0
"2005","Niger",1981,NA,NA,NA,NA,0
"2006","Nigeria",1981,6.32,5.93,13.86,4.2,26.1352
"2007","Niue",1981,NA,NA,NA,NA,0
"2008","Norway",1981,3.33,10.05,8.07,4.76,0
"2009","Oman",1981,1.19,0.04,0.68,0.58,0
"2010","Pakistan",1981,5.18,10.8,7.38,5.29,0
"2011","Palau",1981,NA,NA,NA,NA,NA
"2012","Panama",1981,0.83,0.54,1.01,0.15,0
"2013","Papua New Guinea",1981,NA,NA,NA,NA,0
"2014","Paraguay",1981,0.09,0.1,1.05,0.07,0
"2015","Peru",1981,4.39,6.05,6.84,4.16,0
"2016","Philippines",1981,10.48,7.58,10.03,3.51,0
"2017","Poland",1981,216.42,61.75,25.73,79.41,0
"2018","Portugal",1981,7.77,7.53,7.01,2.6,0
"2019","Qatar",1981,4.09,4,1.17,0.01,2.7322
"2020","Romania",1981,56.47,83.69,4.43,32.64,0
"2021","Russian Federation",1981,NA,NA,NA,NA,0
"2022","Rwanda",1981,NA,NA,NA,NA,0
"2023","Saint Kitts & Nevis",1981,NA,NA,NA,NA,0
"2024","Saint Lucia",1981,NA,NA,NA,NA,0
"2025","Saint Vincent & Grenadines",1981,NA,NA,NA,NA,0
"2026","Samoa",1981,NA,NA,NA,NA,0
"2027","Sao Tome & Principe",1981,NA,NA,NA,NA,0
"2028","Saudi Arabia",1981,42.99,49.52,25.23,1.48,46.5495
"2029","Senegal",1981,0.7,0.53,0.67,0.11,0
"2030","Serbia",1981,27.664,10.6939,3.8235,2.3068,0
"2031","Seychelles",1981,NA,NA,NA,NA,0
"2032","Sierra Leone",1981,NA,NA,NA,NA,0
"2033","Singapore",1981,9.21,1.27,3.02,0.29,0
"2034","Slovakia",1981,18.78,17.37,4.21,13.7,NA
"2035","Slovenia",1981,3.9556,3.2493,2.3064,0.9152,0
"2036","Solomon Islands",1981,NA,NA,NA,NA,0
"2037","South Africa",1981,106.14,77.56,26.24,11.59,0
"2038","Spain",1981,77.25,52.75,42.13,19.02,0
"2039","Sri Lanka",1981,0.48,0.64,2.06,0.55,0
"2040","Sudan",1981,0.25,1,2.23,0.13,0
"2041","Suriname",1981,NA,NA,NA,NA,0
"2042","Swaziland",1981,NA,NA,NA,NA,0
"2043","Sweden",1981,7.84,16.79,16.35,25.59,0
"2044","Switzerland",1981,1.19,9.14,10.57,15.99,0
"2045","Syria",1981,3.52,5.81,3.73,1.96,0
"2046","Tajikistan",1981,NA,NA,NA,NA,0
"2047","Tanzania",1981,0.26,0.38,0.67,0.25,0
"2048","Thailand",1981,10.51,6.71,9.99,5.26,0
"2049","Togo",1981,0.02,0,0.31,0.03,0
"2050","Tonga",1981,NA,NA,NA,NA,0
"2051","Trinidad & Tobago",1981,5.25,1.48,1.48,0.18,0
"2052","Tunisia",1981,2.75,2.02,1.87,1.42,0
"2053","Turkey",1981,17.49,20.29,16.67,16.24,0
"2054","Turkmenistan",1981,NA,NA,NA,NA,0
"2055","Uganda",1981,NA,NA,NA,NA,0
"2056","Ukraine",1981,NA,NA,NA,NA,0
"2057","United Arab Emirates",1981,5.97,9.18,8.1,0,7.8356
"2058","United Kingdom",1981,246.35,104.83,86.13,117.87,7.6149
"2059","United States",1981,1786.79,927.84,1229.25,652.04,5.3936
"2060","Uruguay",1981,0.95,1.21,1.64,1.14,0
"2061","Uzbekistan",1981,NA,NA,NA,NA,0
"2062","Vanuatu",1981,NA,NA,NA,NA,0
"2063","Venezuela",1981,38.38,22.42,27.78,5.06,3.9875
"2064","Vietnam",1981,3.83,5.23,1.61,4.48,0
"2065","World",1981,6368.25,4656.09,3659.16,3150.69,179.7574
"2066","Yemen",1981,0.72,0,2.32,0.42,0
"2067","Zambia",1981,0.24,1.65,0.83,0.33,0
"2068","Zimbabwe",1981,0.88,3.93,1.97,1.19,0
"2069","Afghanistan",1982,NA,NA,NA,NA,0
"2070","Albania",1982,1.18,2.74,0.85,1.88,0
"2071","Algeria",1982,19.78,6.07,7.02,6.18,9.8767
"2072","Angola",1982,0.54,0.45,0.85,0.38,0
"2073","Antigua & Barbuda",1982,NA,NA,NA,NA,0
"2074","Argentina",1982,27.98,15.29,31.14,18.48,3.4351
"2075","Armenia",1982,NA,NA,NA,NA,0
"2076","Australia",1982,109.28,43.27,51.05,10.9,0
"2077","Austria",1982,11.48,11.22,10.96,17.3,0
"2078","Azerbaijan",1982,NA,NA,NA,NA,0
"2079","Bahamas, The",1982,NA,NA,NA,NA,0
"2080","Bahrain",1982,4.73,2.71,0.76,0.07,0
"2081","Bangladesh",1982,1.98,2.93,0.97,1.92,0
"2082","Barbados",1982,NA,NA,NA,NA,0
"2083","Belarus",1982,NA,NA,NA,NA,0
"2084","Belgium",1982,35.79,30.38,15.61,27.49,0
"2085","Belize",1982,NA,NA,NA,NA,0
"2086","Benin",1982,0.02,0.03,0.24,0.07,0
"2087","Bhutan",1982,NA,NA,NA,NA,0
"2088","Bolivia",1982,1.39,1.08,1.64,0.72,0
"2089","Bosnia & Herzegovina",1982,5.4516,5.6027,1.6346,3.0105,0
"2090","Botswana",1982,0.68,0.42,0.27,0.05,0
"2091","Brazil",1982,20.36,54.3,72.49,19.08,0
"2092","Brunei",1982,2.18,0.12,0.36,0.04,0.777
"2093","Bulgaria",1982,38.29,12.35,3.92,26.95,0
"2094","Burkina Faso",1982,NA,NA,NA,NA,0
"2095","Burundi",1982,NA,NA,NA,NA,0
"2096","Cambodia",1982,NA,NA,NA,NA,0
"2097","Cameroon",1982,0.09,0.23,1.29,0.28,0
"2098","Canada",1982,107.84,82.63,110.05,89.64,2.6695
"2099","Cape Verde",1982,NA,NA,NA,NA,0
"2100","Central African Republic",1982,NA,NA,NA,NA,0
"2101","Chad",1982,NA,NA,NA,NA,0
"2102","Chile",1982,5.03,4.55,6.19,2.48,0
"2103","China",1982,355.93,675.1,86.27,349.25,0
"2104","Colombia",1982,10.01,9.69,12.36,3.69,1.6543
"2105","Comoros",1982,NA,NA,NA,NA,0
"2106","Congo, Dem. Rep.",1982,0.14,0.62,0.49,1.33,0
"2107","Congo, Rep.",1982,0.03,0.06,0.65,0.06,0
"2108","Cook Islands",1982,NA,NA,NA,NA,0
"2109","Costa Rica",1982,0.21,0.4,1.04,0.05,0
"2110","Cote d'Ivoire",1982,0.52,0.55,1.39,0.49,0
"2111","Croatia",1982,10.8437,6.3161,3.5851,2.1684,0
"2112","Cuba",1982,10.1,10.45,5.25,4.41,0
"2113","Cyprus",1982,1.13,0.68,0.65,0.13,0
"2114","Czech Republic",1982,59.73,69.26,6.31,33.99,NA
"2115","Denmark",1982,27.1,6.14,8.76,12.65,0
"2116","Djibouti",1982,NA,NA,NA,NA,0
"2117","Dominica",1982,NA,NA,NA,NA,0
"2118","Dominican Republic",1982,2.37,1.55,1.47,0.35,0
"2119","Ecuador",1982,3.78,1.57,4.68,1.87,0.8961
"2120","Egypt",1982,12.28,19.34,8.97,10.66,0
"2121","El Salvador",1982,0.14,0.5,0.83,0.12,0
"2122","Equatorial Guinea",1982,NA,NA,NA,NA,0
"2123","Eritrea",1982,NA,NA,NA,NA,NA
"2124","Estonia",1982,NA,NA,NA,NA,0
"2125","Ethiopia",1982,0.34,0.26,0.63,0.17,0
"2126","European Union (15)",1982,1146.27,673.85,523.01,682.44,NA
"2127","European Union (28)",1982,1589.6379,942.413,581.4174,900.5074,NA
"2128","Fiji",1982,NA,NA,NA,NA,0
"2129","Finland",1982,11.75,15.22,8.55,8.97,0
"2130","France",1982,109.19,91.83,90.24,105.44,0
"2131","Gabon",1982,0.12,0.87,0.47,0.3,3.1961
"2132","Gambia, The",1982,NA,NA,NA,NA,0
"2133","Georgia",1982,NA,NA,NA,NA,0
"2134","Germany",1982,427.2,207.07,124.16,223.9,NA
"2135","Ghana",1982,0.13,0.4,1.33,0.57,0
"2136","Greece",1982,20.77,9.23,9.86,6.4,0
"2137","Grenada",1982,NA,NA,NA,NA,0
"2138","Guatemala",1982,1.1,0.47,1.16,0.48,0
"2139","Guinea",1982,NA,NA,NA,NA,0
"2140","Guinea-Bissau",1982,NA,NA,NA,NA,0
"2141","Guyana",1982,NA,NA,NA,NA,0
"2142","Haiti",1982,0.12,0.19,0.3,0.05,0
"2143","Honduras",1982,0.26,0.42,0.64,0.27,0
"2144","Hungary",1982,34.85,19.85,7.89,20.49,0
"2145","Iceland",1982,0.02,0.4,0.48,0.66,0
"2146","India",1982,114.42,115.68,49.14,57.44,4.8104
"2147","Indonesia",1982,14.31,22.88,20.6,19.2,10.1279
"2148","Iran",1982,20.28,24.22,23.26,35.74,26.1526
"2149","Iraq",1982,5.39,6.12,13.31,3.31,6.3927
"2150","Ireland",1982,7.63,5.54,4.36,7.77,0
"2151","Israel",1982,11.2,4.12,4.41,1.86,0
"2152","Italy",1982,117.7,81.66,73.17,72.82,0
"2153","Jamaica",1982,1.4,2.76,0.96,0.42,0
"2154","Japan",1982,318.53,246.3,147.35,120.78,0
"2155","Jordan",1982,1.74,0.97,2.18,1.06,0
"2156","Kazakhstan",1982,NA,NA,NA,NA,0
"2157","Kenya",1982,0.46,1.13,1.77,0.75,0
"2158","Kiribati",1982,NA,NA,NA,NA,0
"2159","Korea, Dem. Rep. (North)",1982,15.22,74.62,4.99,18.93,0
"2160","Korea, Rep. (South)",1982,41.4,28.07,12.47,47.11,0
"2161","Kuwait",1982,12.88,5.82,8.79,3.09,0.8764
"2162","Kyrgyzstan",1982,NA,NA,NA,NA,0
"2163","Laos",1982,NA,NA,NA,NA,0
"2164","Latvia",1982,NA,NA,NA,NA,0
"2165","Lebanon",1982,2.64,0.01,1.54,0.44,0
"2166","Lesotho",1982,NA,NA,NA,NA,0
"2167","Liberia",1982,NA,NA,NA,NA,0
"2168","Libya",1982,9.86,4.58,5.78,0.54,5.2581
"2169","Lithuania",1982,NA,NA,NA,NA,0
"2170","Luxembourg",1982,1.03,5.64,1.43,1.4,0
"2171","Macedonia, FYR",1982,4.3733,1.8208,0.9932,0.3915,0
"2172","Madagascar",1982,NA,NA,NA,NA,0
"2173","Malawi",1982,NA,NA,NA,NA,0
"2174","Malaysia",1982,9.15,9.48,7.22,1.43,0
"2175","Maldives",1982,NA,NA,NA,NA,0
"2176","Mali",1982,NA,NA,NA,NA,0
"2177","Malta",1982,0.9,0,0.31,0.07,0
"2178","Mauritania",1982,NA,NA,NA,NA,0
"2179","Mauritius",1982,0.16,0.08,0.23,0.06,0
"2180","Mexico",1982,70.1,68.25,74.48,26,12.4829
"2181","Moldova",1982,NA,NA,NA,NA,0
"2182","Mongolia",1982,NA,NA,NA,NA,0
"2183","Montenegro",1982,NA,NA,NA,NA,NA
"2184","Morocco",1982,5.15,4.64,2.74,2.31,0
"2185","Mozambique",1982,0.5,0.49,0.24,0.61,0
"2186","Myanmar",1982,1.18,2.01,1.93,0.08,0
"2187","Namibia",1982,NA,NA,NA,NA,NA
"2188","Nauru",1982,NA,NA,NA,NA,0
"2189","Nepal",1982,0.01,0.19,0.17,0.14,0
"2190","Netherlands",1982,47.66,38.35,21.44,38.11,0
"2191","New Zealand",1982,3.94,4.7,6.67,2.66,0
"2192","Nicaragua",1982,0.56,0.25,0.84,0.21,0
"2193","Niger",1982,NA,NA,NA,NA,0
"2194","Nigeria",1982,7.47,6.43,14.97,4.72,23.3522
"2195","Niue",1982,NA,NA,NA,NA,0
"2196","Norway",1982,3.53,9.22,8.19,4.19,0
"2197","Oman",1982,1.47,0.05,0.79,0.61,0
"2198","Pakistan",1982,5.68,12.12,8.34,5.58,0
"2199","Palau",1982,NA,NA,NA,NA,NA
"2200","Panama",1982,1.23,0.57,1.02,0.16,0
"2201","Papua New Guinea",1982,NA,NA,NA,NA,0
"2202","Paraguay",1982,0.06,0.14,1.03,0.08,0
"2203","Peru",1982,4.57,5.69,6.68,4.34,3.5724
"2204","Philippines",1982,10.71,7.49,10.26,3.49,0
"2205","Poland",1982,219.74,57.39,23.62,88.76,0
"2206","Portugal",1982,7.47,7.96,7.46,2.69,0
"2207","Qatar",1982,4.54,4.6,1.36,0.13,0.8763
"2208","Romania",1982,55.69,83.52,6.09,29.72,0
"2209","Russian Federation",1982,NA,NA,NA,NA,0
"2210","Rwanda",1982,NA,NA,NA,NA,0
"2211","Saint Kitts & Nevis",1982,NA,NA,NA,NA,0
"2212","Saint Lucia",1982,NA,NA,NA,NA,0
"2213","Saint Vincent & Grenadines",1982,NA,NA,NA,NA,0
"2214","Samoa",1982,NA,NA,NA,NA,0
"2215","Sao Tome & Principe",1982,NA,NA,NA,NA,0
"2216","Saudi Arabia",1982,49.08,50.75,29.31,1.71,38.9209
"2217","Senegal",1982,0.64,0.51,0.67,0.11,0
"2218","Serbia",1982,28.7772,10.0936,3.5349,4.0306,0
"2219","Seychelles",1982,NA,NA,NA,NA,0
"2220","Sierra Leone",1982,NA,NA,NA,NA,0
"2221","Singapore",1982,9.58,1.16,3.24,0.3,0
"2222","Slovakia",1982,18.07,16.13,3.9,14.19,NA
"2223","Slovenia",1982,4.1242,3.0669,2.1323,1.599,0
"2224","Solomon Islands",1982,NA,NA,NA,NA,0
"2225","South Africa",1982,112.41,69.53,26.15,10.59,0
"2226","Spain",1982,77.15,46.49,42.44,19.87,0
"2227","Sri Lanka",1982,0.7,0.67,2.17,0.64,0
"2228","Sudan",1982,0.27,0.79,2.55,0.14,0
"2229","Suriname",1982,NA,NA,NA,NA,0
"2230","Swaziland",1982,NA,NA,NA,NA,0
"2231","Sweden",1982,8.13,15,16.45,21.4,0
"2232","Switzerland",1982,1.19,7.72,10.82,15.17,0
"2233","Syria",1982,4.43,6.24,3.98,3.01,0
"2234","Tajikistan",1982,NA,NA,NA,NA,0
"2235","Tanzania",1982,0.28,0.36,0.61,0.18,0
"2236","Thailand",1982,9.45,6.43,9.65,5.53,0
"2237","Togo",1982,0.02,0,0.36,0.05,0
"2238","Tonga",1982,NA,NA,NA,NA,0
"2239","Trinidad & Tobago",1982,4.67,2.81,1.58,0.17,0
"2240","Tunisia",1982,2.72,1.74,1.88,1.51,0
"2241","Turkey",1982,18.55,21.31,17.85,19.25,0
"2242","Turkmenistan",1982,NA,NA,NA,NA,0
"2243","Uganda",1982,NA,NA,NA,NA,0
"2244","Ukraine",1982,NA,NA,NA,NA,0
"2245","United Arab Emirates",1982,7.34,9.17,8.99,0,9.3306
"2246","United Kingdom",1982,236.22,102.12,88.12,116.23,0
"2247","United States",1982,1718.13,782.84,1220.35,644.07,5.2302
"2248","Uruguay",1982,1.05,0.95,1.55,1.04,0
"2249","Uzbekistan",1982,NA,NA,NA,NA,0
"2250","Vanuatu",1982,NA,NA,NA,NA,0
"2251","Venezuela",1982,38.44,23.76,28.11,4.94,3.6943
"2252","Vietnam",1982,4.05,5.76,1.69,4.79,0
"2253","World",1982,6397.93,4474.26,3626.86,3132.44,173.5827
"2254","Yemen",1982,0.95,0,2.42,0.59,0
"2255","Zambia",1982,0.23,1.67,0.73,0.31,0
"2256","Zimbabwe",1982,0.86,3.85,1.72,1.33,0
"2257","Afghanistan",1983,NA,NA,NA,NA,0
"2258","Albania",1983,1.18,3.24,0.92,1.99,0
"2259","Algeria",1983,22.8,5.65,7.53,6.97,8.9472
"2260","Angola",1983,0.62,0.46,0.77,0.5,0
"2261","Antigua & Barbuda",1983,NA,NA,NA,NA,0
"2262","Argentina",1983,29.21,14.68,31.26,19.97,4.799
"2263","Armenia",1983,NA,NA,NA,NA,0
"2264","Australia",1983,103.73,37.95,50.51,10.33,2.022
"2265","Austria",1983,11.67,11.84,11.45,16.12,0
"2266","Azerbaijan",1983,NA,NA,NA,NA,13.2465
"2267","Bahamas, The",1983,NA,NA,NA,NA,0
"2268","Bahrain",1983,5.03,2.67,0.85,0.07,0.8248
"2269","Bangladesh",1983,1.96,2.5,1.09,1.78,0
"2270","Barbados",1983,NA,NA,NA,NA,0
"2271","Belarus",1983,NA,NA,NA,NA,0
"2272","Belgium",1983,31.56,27.39,15.95,25.69,0
"2273","Belize",1983,NA,NA,NA,NA,0
"2274","Benin",1983,0.06,0.03,0.23,0.04,0
"2275","Bhutan",1983,NA,NA,NA,NA,0
"2276","Bolivia",1983,1.07,1.28,1.74,0.79,0.3447
"2277","Bosnia & Herzegovina",1983,6.5425,5.6235,1.669,3.6583,0
"2278","Botswana",1983,0.62,0.42,0.3,0.05,0
"2279","Brazil",1983,20.43,49.67,67.98,19.9,0
"2280","Brunei",1983,2.32,0.13,0.41,0.04,0.8368
"2281","Bulgaria",1983,36.92,12.13,3.92,27.18,0
"2282","Burkina Faso",1983,NA,NA,NA,NA,0
"2283","Burundi",1983,NA,NA,NA,NA,0
"2284","Cambodia",1983,NA,NA,NA,NA,0
"2285","Cameroon",1983,0.07,0.23,1.49,0.28,4.5364
"2286","Canada",1983,112.15,80.21,107.88,84.34,3.0132
